"Latest: Time (s)","Latest: Radiation (Counts)"
6,122
12,118
18,110
24,106
30,118
36,117
42,103
48,127
54,124
60,126
66,116
72,102
78,118
84,112
90,132
96,105
102,121
108,111
114,124
120,128
126,119
132,106
138,101
144,123
150,118
156,100
162,116
168,84
174,105
180,127
186,127
192,123
198,129
204,125
210,106
216,117
222,126
228,126
234,125
240,118
246,104
252,120
258,114
264,121
270,111
276,103
282,102
288,90
294,108
300,121
306,104
312,125
318,109
324,120
330,103
336,110
342,133
348,120
354,116
360,95
366,109
372,96
378,106
384,106
390,111
396,111
402,111
408,105
414,125
420,120
426,131
432,122
438,120
444,115
450,115
456,114
462,115
468,93
474,111
480,138
486,104
492,101
498,91
504,126
510,106
516,116
522,116
528,96
534,112
540,127
546,93
552,100
558,138
564,104
570,101
576,114
582,116
588,113
594,119
600,91
