"Latest: Time (s)","Latest: Radiation (Counts)"
6,10
12,4
18,5
24,9
30,10
36,8
42,7
48,9
54,7
60,11
66,8
72,5
78,10
84,9
90,13
96,7
102,7
108,10
114,10
120,10
126,9
132,9
138,13
144,7
150,10
156,7
162,6
168,4
174,16
180,10
186,10
192,10
198,4
204,6
210,7
216,7
222,5
228,9
234,9
240,12
246,14
252,7
258,5
264,10
270,8
276,7
282,9
288,6
294,4
300,6
306,8
312,14
318,3
324,9
330,7
336,12
342,7
348,9
354,11
360,7
366,11
372,6
378,7
384,6
390,9
396,8
402,9
408,13
414,8
420,9
426,8
432,8
438,9
444,10
450,10
456,10
462,13
468,11
474,10
480,7
486,8
492,6
498,6
504,6
510,7
516,12
522,9
528,10
534,11
540,4
546,9
552,7
558,10
564,10
570,5
576,10
582,10
588,5
594,12
600,6
