"Latest: Time (s)","Latest: Radiation (Counts)"
6,30
12,32
18,24
24,28
30,25
36,26
42,37
48,24
54,27
60,20
66,21
72,38
78,31
84,31
90,16
96,26
102,37
108,30
114,27
120,24
126,28
132,19
138,23
144,21
150,29
156,25
162,30
168,26
174,35
180,15
186,29
192,19
198,24
204,36
210,35
216,22
222,32
228,28
234,25
240,33
246,29
252,22
258,30
264,24
270,23
276,28
282,22
288,27
294,26
300,27
306,31
312,25
318,30
324,14
330,40
336,23
342,13
348,23
354,33
360,28
366,30
372,24
378,34
384,29
390,29
396,28
402,27
408,32
414,24
420,34
426,25
432,38
438,34
444,30
450,24
456,28
462,25
468,30
474,19
480,29
486,34
492,35
498,28
504,27
510,24
516,27
522,27
528,24
534,28
540,21
546,26
552,28
558,27
564,22
570,29
576,28
582,28
588,35
594,21
600,18
